train loss(mse),test loss(mse),mae
0.014596,0.016153,0.082312
0.013316,0.013708,0.076576
0.013086,0.014331,0.0807
0.013726,0.014464,0.081926
0.014555,0.015883,0.087536
0.013398,0.014796,0.084413
0.010438,0.011098,0.066419
0.009601,0.010527,0.06272
0.00936,0.010687,0.063286
0.008826,0.010244,0.062188
0.008872,0.010937,0.065879
0.008704,0.010722,0.065102
0.008572,0.010156,0.062537
0.008297,0.010162,0.062449
0.008229,0.009865,0.061218
0.007716,0.009961,0.061085
0.007664,0.009978,0.062015
0.007267,0.009987,0.061582
0.006937,0.009871,0.060806
0.006953,0.010057,0.061898
0.006594,0.009965,0.061908
0.006354,0.009742,0.060353
0.006363,0.009964,0.061261
0.006274,0.009857,0.060953
0.006086,0.010066,0.062507
0.005682,0.009953,0.060804
0.00576,0.009952,0.06153
0.005351,0.009972,0.061759
0.005378,0.010104,0.062854
0.005245,0.010072,0.061443
0.005023,0.010077,0.061953
0.005002,0.010026,0.061704
0.004879,0.010013,0.061009
0.004707,0.010133,0.062107
0.004654,0.010131,0.06205
0.004512,0.010287,0.062704
0.004271,0.010202,0.061999
0.004272,0.010225,0.062256
0.004142,0.010244,0.062298
0.004041,0.010186,0.06199
0.004051,0.010376,0.062874
0.003877,0.010325,0.062592
0.003825,0.010352,0.062622
0.003685,0.010325,0.06239
0.003742,0.010319,0.062551
0.003629,0.010344,0.062533
0.003692,0.010434,0.062927
0.0037,0.010416,0.062723
0.003709,0.010347,0.062487
0.003564,0.01045,0.062962
